,Puan,Yorum
0,1.0,Hızlı ve özenli kargo bu fiyata gayet iyi bir ürün ilk denemelerimde ürününün yarısını üçlü koltuk altına sokmayı başardım ve durduruna kadar birkaç saniye geçti fakat ürün ne hiçbir şey olmadı yani gayet sağlam diyebilirim
1,1.0,Harika bir kitqp
2,1.0,Şahane bir plak ! Mermer baskısı o kadar şık o kadar güzel duruyor ki bayıldım ! Satıcıya sonsuz teşekkürler :
3,1.0,İnanılmaz keyifli bir oyun. Hem heyecan hem kelime bilgisi...Tekrar etme ihtimali düşük olduğu için epey kullanılır.
4,1.0,Alısverışten çok memnun kaldım eksıksız. Ç sorunsuz bı ürün aldım bb drone sıyah tavsiye ederim fıyatınan göre güzel bı ürün tesekkur
5,1.0,Kesinlikle kitaplığında olması gereken bir kitap.Beni ve okuması için verdiğim arkadaşlarımı etkiledi.
6,1.0,kizim 11 aylik normalde bu kitap 3 yasindan sonraki cocuklar icin uygun. uzerinde 6 hayvanin sesi var ve gorselleri tabi ki. tek sorun urun bana teslim edildi fakat ses cikartan parcasi ile kitap birbirinden ayrilmisti ben yapistirdim
7,1.0, kitabın arka dayfasında parmak kuklaları var harika bir kitap 18 aylık oğlum çok sevdi kitap okuma alışkanlığı için ne kadar erken kitapla buluşursa çocuğunuz o kadar iyi
8,1.0,Ürün elime ulaşmamış yanlış teslim edilmişti Hepsiburada ya söyledim hemen yeniden gönderdiler teşekkür ederim...
9,0.0,Hayatınızda hiç kitap okumadıysanız hoşunuza gidebilir. Standart bir fenomen kitabından öte değil. İş olsun diye olmuş. Tam bir fiyasko
10,1.0,odaklanmakta sorun yaşayan çocuğum için almıştım. ikimizin beraber eğlenerek vakit geçirdiği bir etkinlik oldu.
11,1.0,Bir solukta okudum ve çokbeğendim.Yazarın okuduğum ikinci kitabı mahşer adlı romanını okudum ilk kez ve yazara hayran oldun. bu kitabını da çıkar çıkmaz aldım.
12,1.0,harika içerik ve kalite
13,1.0,Çizimler ve hikayesi çok tatlı. 16 aylık kızımla severek okuyoruz her gün. Kagıt kalitesi oldukça iyi.
14,1.0,Okunması gereken kitaplar arasında bence. Evet ilk sayfalar biraz fazla sıkıcı olsa da sonuna kadar okunmaya ve uygulanmaya değer. Hele o son sözdeki Snelman ın kim olduğuysa gerçekten düşündürücü... İyi okumalar...
15,1.0,ürün çok güzel mermun kaldık tavsiye ederim
16,1.0,hızlı ve özenli bir şekilde paketlenmiş olarak elimize ulaştı. mağazaya bu anlamda güvenebilirsiniz
17,0.0,Güzel bir yayın ama sayfaları yaprak yaprak dağıldı. Yenisi ile değişim olmuyor. Sayfaların dağılması problemini iletmek için yayınevini aradım
18,1.0,Diğer sitelerden daha ucuz ve çok da iyi iş görüyor. 
19,1.0,Kitap zaten çok güzel kesinlikle okumanızı tavsiye ediyorum kargoda vs sorun çıkmadı verdiğim günden sonraki gün teslim ettiler.
20,1.0,sorunsuz teslimat. kitabı kesinlikle tavsiye ederim.
21,1.0,Paketleme güzel sorunsuz elimize ulaştı
22,1.0,insan tarihimizi bu kadar mı güzel anlatır okuldayken tarih dersini sevmezdim sıkılarak okurdum ama işte turgut özakman bana bunun yanlış olduğunu anlattı demek ki anlatımdan anlatıma fark varmış insan sıkılmadan tarihini ne güzel de okuyup anlayabiliyor bence herkesin okuması ve öğrenmesi gereken bir kitap kesinlikle evde bulunması gereken bir arşiv niteliğinde.
23,1.0,ürün güzel metal malzemeden yapılı . plastik almayın kırılıyor hemen . tavsiye edilir.
24,1.0,Firma gayet hızlı bir şekilde oyunu gönderdi. Ayrıca hediye paketi yapılması da hoş bir davranışolmuş firma adına. Teşekkür ederim
25,1.0,Filmini bir arkadaşın tavsiyesi ile zoraki izlemiştim tabi daha sonra kitabını okudum ilk etapda çok saçma çok basit bi hikaye gibi ama ilerledikçe sizi içine alıp bambaşka bi dünyaya götürüyor belkide insanı kendi içindeki asıl kişilikle yüzleştiriyor normal kitap tarzlarının dışında cesur bir kitap belkide insanlar okurken her bir karakterde kendini görücek kimileri bilgin kimileri domuzcuk 
26,1.0,2. Gün elimdeydi. Orijinal
27,1.0,Dışarıya göre çok çok uygun fiyata zamanında teslimat &#128077
28,1.0,Bir Jules Verne Klasiği
29,1.0,Ürün elime beklenen sürede ulaştı ve beklediğim performanstan daha iyisini elde ettim.tınılar kulağa çok hoş geliyor.verdiğim para içime sindi.teşekkürler.
30,1.0,Harika bir hikaye!
31,1.0,Türkçe ve İngilizce meyveleri ve sebzeleri renkli renkli keyifle öğrenebilecekleri bir set. Başarılı olmuş teşekkürler.
